title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
Close the World feat.a☆ru	Sub	SPA2	0	0	0	0	0									FALSE	5	NP	NP	0	-	578		FALSE	10	NP	NP	0	-	1075		FALSE	12	NP	NP	0	-	1739		FALSE	12	NP	NP	0	-	1983		FALSE	5	NP	NP	0	-	433		FALSE	9	NP	NP	0	-	912		FALSE	12	NP	NP	0	-	1610		FALSE	12	NP	NP	0	-	1851		
MAGIC & LOVE	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	517		FALSE	9	NP	NP	0	-	942		FALSE	11	NP	NP	0	-	1481										FALSE	4	NP	NP	0	-	470		FALSE	8	NP	NP	0	-	765		FALSE	11	NP	NP	0	-	1628										
Miracle 5ympho X	Sub	SPA2	0	0	0	0	0									FALSE	5	NP	NP	0	-	390		FALSE	8	NP	NP	0	-	674		FALSE	10	NP	NP	0	-	1325										FALSE	6	NP	NP	0	-	446		FALSE	9	NP	NP	0	-	978		FALSE	11	NP	NP	0	-	1489										
Elektrick U-Phoria	Sub	SPA1	0	0	0	0	0									FALSE	6	NP	NP	0	-	593		FALSE	9	NP	NP	0	-	1004		FALSE	11	NP	NP	0	-	1566		FALSE	12	NP	NP	0	-	2050		FALSE	5	NP	NP	0	-	654		FALSE	8	NP	NP	0	-	1048		FALSE	12	NP	NP	0	-	1763		FALSE	12	NP	NP	0	-	2164		
死神自爆中二妹アイドルももかりん(1歳)	Sub	SPA1	0	0	0	0	0									FALSE	4	NP	NP	0	-	448		FALSE	7	NP	NP	0	-	742		FALSE	11	NP	NP	0	-	1472										FALSE	4	NP	NP	0	-	477		FALSE	8	NP	NP	0	-	790		FALSE	11	NP	NP	0	-	1413										
Overload Frontier	Sub	SPA2	0	0	0	0	0									FALSE	5	NP	NP	0	-	404		FALSE	8	NP	NP	0	-	954		FALSE	11	NP	NP	0	-	1336										FALSE	6	NP	NP	0	-	522		FALSE	9	NP	NP	0	-	1006		FALSE	11	NP	NP	0	-	1249										
Adularia	Sub	SPA2	0	0	0	0	0									FALSE	6	NP	NP	0	-	540		FALSE	10	NP	NP	0	-	972		FALSE	12	NP	NP	0	-	1449										FALSE	6	NP	NP	0	-	524		FALSE	10	NP	NP	0	-	946		FALSE	12	NP	NP	0	-	1382										
Valgus	Sub	SPA1	0	0	0	0	0									FALSE	4	NP	NP	0	-	330		FALSE	7	NP	NP	0	-	685		FALSE	11	NP	NP	0	-	1206										FALSE	4	NP	NP	0	-	348		FALSE	7	NP	NP	0	-	734		FALSE	11	NP	NP	0	-	1212										
Odin	Sub	SPA2	0	0	0	0	0									FALSE	4	NP	NP	0	-	408		FALSE	7	NP	NP	0	-	721		FALSE	10	NP	NP	0	-	1039										FALSE	5	NP	NP	0	-	438		FALSE	7	NP	NP	0	-	709		FALSE	10	NP	NP	0	-	1140										
MAD ATTACK	Sub	SPA1	0	0	0	0	0									FALSE	3	NP	NP	0	-	348		FALSE	6	NP	NP	0	-	683		FALSE	9	NP	NP	0	-	991										FALSE	3	NP	NP	0	-	383		FALSE	6	NP	NP	0	-	719		FALSE	10	NP	NP	0	-	1136										
Funny shuffle	Sub	SPA2	0	0	0	0	0									FALSE	3	NP	NP	0	-	309		FALSE	6	NP	NP	0	-	590		FALSE	11	NP	NP	0	-	1199										FALSE	4	NP	NP	0	-	308		FALSE	7	NP	NP	0	-	639		FALSE	11	NP	NP	0	-	1312										
NPC World	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	522		FALSE	8	NP	NP	0	-	826		FALSE	10	NP	NP	0	-	1155										FALSE	5	NP	NP	0	-	496		FALSE	9	NP	NP	0	-	970		FALSE	10	NP	NP	0	-	1174										
Lighting Shower	Sub	SPA1	0	0	0	0	0									FALSE	4	NP	NP	0	-	418		FALSE	7	NP	NP	0	-	694		FALSE	11	NP	NP	0	-	1220										FALSE	4	NP	NP	0	-	383		FALSE	7	NP	NP	0	-	686		FALSE	11	NP	NP	0	-	1288										
m1dy Deluxe	Sub	SPA2	0	0	0	0	0									FALSE	6	NP	NP	0	-	598		FALSE	9	NP	NP	0	-	951		FALSE	11	NP	NP	0	-	1342										FALSE	6	NP	NP	0	-	627		FALSE	9	NP	NP	0	-	931		FALSE	11	NP	NP	0	-	1332										
LA FESTA LA VITA!!	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	443		FALSE	9	NP	NP	0	-	915		FALSE	11	NP	NP	0	-	1461										FALSE	5	NP	NP	0	-	469		FALSE	9	NP	NP	0	-	1069		FALSE	11	NP	NP	0	-	1445										
廿	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	485		FALSE	8	NP	NP	0	-	890		FALSE	10	NP	NP	0	-	1215		FALSE	12	NP	NP	0	-	1731		FALSE	5	NP	NP	0	-	485		FALSE	8	NP	NP	0	-	938		FALSE	10	NP	NP	0	-	1190		FALSE	12	NP	NP	0	-	1782		
超!!遠距離らぶ♡メ～ル	Sub	SPA2	0	0	0	0	0									FALSE	3	NP	NP	0	-	292		FALSE	7	NP	NP	0	-	790		FALSE	10	NP	NP	0	-	1352										FALSE	4	NP	NP	0	-	363		FALSE	7	NP	NP	0	-	879		FALSE	11	NP	NP	0	-	1450										
煉獄のエルフェリア	Sub	SPA1	0	0	0	0	0									FALSE	7	NP	NP	0	-	698		FALSE	10	NP	NP	0	-	1222		FALSE	12	NP	NP	0	-	2000										FALSE	7	NP	NP	0	-	725		FALSE	10	NP	NP	0	-	1265		FALSE	12	NP	NP	0	-	1945										
INSOMNIA	Base	Base	0	0	0	43.674	0									TRUE	4	NP	NP	0	-	407		TRUE	8	NP	NP	0	-	938		TRUE	12	EX	AAA	3012	10	1661	4.36740000E+001									TRUE	4	NP	NP	0	-	443		TRUE	8	NP	NP	0	-	991		TRUE	12	NP	NP	0	-	1722										
RISE	Sub	SPA2	0	0	0	0	0									FALSE	5	NP	NP	0	-	480		FALSE	8	NP	NP	0	-	701		FALSE	10	NP	NP	0	-	951										FALSE	5	NP	NP	0	-	496		FALSE	8	NP	NP	0	-	732		FALSE	10	NP	NP	0	-	1038										
Give Me Your Love	Sub	SPA2	0	0	0	0	0									FALSE	4	NP	NP	0	-	331		FALSE	7	NP	NP	0	-	696		FALSE	9	NP	NP	0	-	946										FALSE	4	NP	NP	0	-	415		FALSE	7	NP	NP	0	-	686		FALSE	10	NP	NP	0	-	1027										
ALBA -黎明-	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	330		FALSE	8	NP	NP	0	-	787		FALSE	11	NP	NP	0	-	1631										FALSE	4	NP	NP	0	-	398		FALSE	8	NP	NP	0	-	820		FALSE	11	NP	NP	0	-	1600										
お願いアインシュタイン	Sub	SPA2	0	0	0	0	0									FALSE	5	NP	NP	0	-	457		FALSE	8	NP	NP	0	-	753		FALSE	10	NP	NP	0	-	1066										FALSE	5	NP	NP	0	-	437		FALSE	8	NP	NP	0	-	736		FALSE	10	NP	NP	0	-	1041										
diagram	Sub	SPA2	0	0	0	0	0									FALSE	3	NP	NP	0	-	318		FALSE	7	NP	NP	0	-	660		FALSE	11	NP	NP	0	-	1461										FALSE	4	NP	NP	0	-	400		FALSE	7	NP	NP	0	-	636		FALSE	11	NP	NP	0	-	1419										
refractive index	Sub	SPA1	0	0	0	0	0									FALSE	3	NP	NP	0	-	374		FALSE	7	NP	NP	0	-	731		FALSE	11	NP	NP	0	-	1360										FALSE	4	NP	NP	0	-	405		FALSE	7	NP	NP	0	-	761		FALSE	11	NP	NP	0	-	1415										
Hypersonik	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	521		FALSE	8	NP	NP	0	-	878		FALSE	10	NP	NP	0	-	1272										FALSE	5	NP	NP	0	-	544		FALSE	8	NP	NP	0	-	897		FALSE	11	NP	NP	0	-	1252										
Last Dance	Sub	SPA2	0	0	0	0	0									FALSE	6	NP	NP	0	-	616		FALSE	10	NP	NP	0	-	1040		FALSE	12	NP	NP	0	-	1650										FALSE	6	NP	NP	0	-	614		FALSE	10	NP	NP	0	-	1137		FALSE	12	NP	NP	0	-	1678										
All is Wrecked	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	465		FALSE	8	NP	NP	0	-	754		FALSE	11	NP	NP	0	-	1289										FALSE	5	NP	NP	0	-	451		FALSE	8	NP	NP	0	-	768		FALSE	12	NP	NP	0	-	1411										
ra'am	Bits	Bits	7500	10000	12000	0	0									FALSE	8	NP	NP	0	-	653		FALSE	10	NP	NP	0	-	1003		FALSE	12	NP	NP	0	-	1461										FALSE	7	NP	NP	0	-	722		FALSE	10	NP	NP	0	-	1067		FALSE	12	NP	NP	0	-	1500										
疾風迅雷	Bits	Bits	6000	10000	12000	35.788	0									FALSE	6	NP	NP	0	-	592		FALSE	10	NP	NP	0	-	1078		FALSE	12	NP	NP	0	-	1493		TRUE	12	F	AA	3112	-	1824	3.57880000E+001	FALSE	6	NP	NP	0	-	556		FALSE	10	NP	NP	0	-	1154		FALSE	12	NP	NP	0	-	1670		TRUE	12	NP	NP	0	-	1764		
Immortal	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	483		FALSE	9	NP	NP	0	-	902		FALSE	12	NP	NP	0	-	1607										FALSE	6	NP	NP	0	-	535		FALSE	10	NP	NP	0	-	993		FALSE	12	NP	NP	0	-	1592										
Verflucht	Sub	SPA2	0	0	0	0	0									FALSE	6	NP	NP	0	-	647		FALSE	10	NP	NP	0	-	1081		FALSE	12	NP	NP	0	-	1805		FALSE	12	NP	NP	0	-	2401		FALSE	7	NP	NP	0	-	643		FALSE	10	NP	NP	0	-	1094		FALSE	12	NP	NP	0	-	1949		FALSE	12	NP	NP	0	-	2093		
BRAVE OUT	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	528		FALSE	8	NP	NP	0	-	773		FALSE	10	NP	NP	0	-	1091										FALSE	5	NP	NP	0	-	520		FALSE	9	NP	NP	0	-	912		FALSE	11	NP	NP	0	-	1264										
Feel The Beat	Bits	Bits	6500	9500	11500	54.88	0									FALSE	7	NP	NP	0	-	689		FALSE	10	NP	NP	0	-	1129		TRUE	12	FC	AAA	3386	1	1830		TRUE	12	EX	AA	3920	10	2225	5.48800000E+001	FALSE	6	NP	NP	0	-	578		FALSE	9	NP	NP	0	-	1049		TRUE	11	NP	NP	0	-	1628		TRUE	12	NP	NP	0	-	1879		
Pharaoh	Sub	SPA2	0	0	0	0	0									FALSE	3	NP	NP	0	-	331		FALSE	8	NP	NP	0	-	727		FALSE	11	NP	NP	0	-	1242										FALSE	3	NP	NP	0	-	338		FALSE	8	NP	NP	0	-	634		FALSE	9	NP	NP	0	-	794										
Shattered control	Sub	SPA2	0	0	0	0	0									FALSE	4	NP	NP	0	-	350		FALSE	8	NP	NP	0	-	781		FALSE	10	NP	NP	0	-	1107										FALSE	4	NP	NP	0	-	350		FALSE	8	NP	NP	0	-	786		FALSE	10	NP	NP	0	-	1157										
I will be back -オレは帰ってきた-	Sub	SPA1	0	0	0	0	0									FALSE	6	NP	NP	0	-	516		FALSE	9	NP	NP	0	-	1012		FALSE	11	NP	NP	0	-	1492										FALSE	6	NP	NP	0	-	544		FALSE	10	NP	NP	0	-	1086		FALSE	12	NP	NP	0	-	1512										
Smug Face -どうだ、オレの生き様は- (ONLY ONE EDITION)	Sub	SPA2	0	0	0	0	0									FALSE	6	NP	NP	0	-	576		FALSE	9	NP	NP	0	-	1025		FALSE	11	NP	NP	0	-	1334										FALSE	6	NP	NP	0	-	584		FALSE	9	NP	NP	0	-	984		FALSE	11	NP	NP	0	-	1362										
アルストロメリア	Base	Base	0	0	0	36.51	0	TRUE	1	NP	NP	0	-	109		TRUE	5	NP	NP	0	-	495		TRUE	8	NP	NP	0	-	804		TRUE	10	FC	AAA	2434	0	1254	3.65100000E+001									TRUE	5	NP	NP	0	-	482		TRUE	8	NP	NP	0	-	852		TRUE	10	NP	NP	0	-	1296										
Sigmund	Bits	Bits	7000	10000	12000	51.268	0									FALSE	7	NP	NP	0	-	806		FALSE	10	NP	NP	0	-	1228		FALSE	12	NP	NP	0	-	2029		TRUE	12	EX	AA	3662	30	2267	5.12680000E+001	FALSE	7	NP	NP	0	-	778		FALSE	10	NP	NP	0	-	1341		FALSE	12	NP	NP	0	-	2073		TRUE	12	NP	NP	0	-	2255		
ÆTHER	Sub	SPA1	0	0	0	0	0									FALSE	5	NP	NP	0	-	514		FALSE	8	NP	NP	0	-	833		FALSE	11	NP	NP	0	-	1440										FALSE	5	NP	NP	0	-	542		FALSE	8	NP	NP	0	-	839		FALSE	11	NP	NP	0	-	1385										
M.D.Injection	Sub	SPA1	0	0	0	0	0									FALSE	3	NP	NP	0	-	301		FALSE	6	NP	NP	0	-	626		FALSE	10	NP	NP	0	-	1231		FALSE	12	NP	NP	0	-	1716		FALSE	5	NP	NP	0	-	412		FALSE	8	NP	NP	0	-	691		FALSE	11	NP	NP	0	-	1259		FALSE	12	NP	NP	0	-	1690		
VOX UP	Bits	Bits	7500	11000	12000	49.271	0									FALSE	8	NP	NP	0	-	754		FALSE	11	NP	NP	0	-	1473		TRUE	12	EX	AAA	3398	6	1870	4.92710000E+001									FALSE	7	NP	NP	0	-	726		FALSE	11	NP	NP	0	-	1437		TRUE	12	NP	NP	0	-	1855										
BRAINSTORM	Sub	SPA2	0	0	0	0	0									FALSE	4	NP	NP	0	-	386		FALSE	10	NP	NP	0	-	1032		FALSE	11	NP	NP	0	-	1449										FALSE	6	NP	NP	0	-	633		FALSE	10	NP	NP	0	-	1204		FALSE	12	NP	NP	0	-	1495										
Recollection	Sub	SPA2	0	0	0	0	0									FALSE	5	NP	NP	0	-	597		FALSE	7	NP	NP	0	-	883		FALSE	9	NP	NP	0	-	1118										FALSE	6	NP	NP	0	-	598		FALSE	7	NP	NP	0	-	880		FALSE	8	NP	NP	0	-	1104										
Claiomh Solais	Sub	SPA1	0	0	0	0	0									FALSE	2	NP	NP	0	-	173		FALSE	6	NP	NP	0	-	723		FALSE	9	NP	NP	0	-	1052										FALSE	2	NP	NP	0	-	265		FALSE	8	NP	NP	0	-	843		FALSE	10	NP	NP	0	-	1175										
Unicorn tail	Bits	Bits	5000	9000	11500	44.6165	0									FALSE	5	NP	NP	0	-	438		FALSE	9	NP	NP	0	-	1046		TRUE	11	EX	AAA	3077	2	1605	4.46165000E+001									FALSE	5	NP	NP	0	-	438		FALSE	9	NP	NP	0	-	1050		TRUE	12	NP	NP	0	-	1833										
RIZING YOU UP	Bits	Bits	7000	9500	11000	0	0									FALSE	6	NP	NP	0	-	537		FALSE	9	NP	NP	0	-	1080		FALSE	10	NP	NP	0	-	1295										FALSE	8	NP	NP	0	-	780		FALSE	10	NP	NP	0	-	1313		FALSE	12	NP	NP	0	-	1680										
THE DETONATOR	Bits	Bits	7500	9500	10500	0	0									FALSE	7	NP	NP	0	-	836		FALSE	10	NP	NP	0	-	1284		FALSE	11	NP	NP	0	-	1636										FALSE	8	NP	NP	0	-	985		FALSE	9	NP	NP	0	-	1156		FALSE	10	NP	NP	0	-	1570										
Ancient Scapes	Sub	SPA1	0	0	0	0	0									FALSE	6	NP	NP	0	-	602		FALSE	10	NP	NP	0	-	1073		FALSE	12	NP	NP	0	-	1780		FALSE	12	NP	NP	0	-	2198		FALSE	6	NP	NP	0	-	637		FALSE	10	NP	NP	0	-	1254		FALSE	12	NP	NP	0	-	1931		FALSE	12	NP	NP	0	-	2285		
Votum stellarum -Hommarju Remix-	Base	Base	0	0	0	38.52	0									TRUE	6	NP	NP	0	-	550		TRUE	9	NP	NP	0	-	955		TRUE	11	FC	AAA	2568	2	1384	3.85200000E+001									TRUE	6	NP	NP	0	-	543		TRUE	9	NP	NP	0	-	980		TRUE	12	NP	NP	0	-	1414										
NEMESIS -gratitude remix- IIDX Edition	Sub	SPA2	0	0	0	0	0									FALSE	6	NP	NP	0	-	533		FALSE	9	NP	NP	0	-	925		FALSE	11	NP	NP	0	-	1364										FALSE	6	NP	NP	0	-	531		FALSE	10	NP	NP	0	-	1089		FALSE	11	NP	NP	0	-	1337										
invoker	Bits	Bits	5500	9500	12000	48.198	0									FALSE	5	NP	NP	0	-	569		FALSE	9	NP	NP	0	-	1009		FALSE	12	NP	NP	0	-	1624		TRUE	12	EX	AAA	3324	13	1851	4.81980000E+001	FALSE	6	NP	NP	0	-	579		FALSE	10	NP	NP	0	-	1242		FALSE	12	NP	NP	0	-	1659		TRUE	12	NP	NP	0	-	1773		
Stella Sinistra	Sub	SPA2	0	0	0	0	0									FALSE	3	NP	NP	0	-	283		FALSE	7	NP	NP	0	-	708		FALSE	11	NP	NP	0	-	1279										FALSE	5	NP	NP	0	-	436		FALSE	9	NP	NP	0	-	732		FALSE	12	NP	NP	0	-	1351										
マインド・ゲーム	Sub	SPA1	0	0	0	0	0									FALSE	4	NP	NP	0	-	467		FALSE	8	NP	NP	0	-	840		FALSE	11	NP	NP	0	-	1243										FALSE	5	NP	NP	0	-	467		FALSE	8	NP	NP	0	-	870		FALSE	10	NP	NP	0	-	1256										
PUNISHER	Bits	Bits	5000	9000	12000	0	0									FALSE	5	NP	NP	0	-	583		FALSE	9	NP	NP	0	-	1081		FALSE	12	NP	NP	0	-	1812										FALSE	5	NP	NP	0	-	594		FALSE	9	NP	NP	0	-	1107		FALSE	12	NP	NP	0	-	1830										
HYENA	Sub	SPA2	0	0	0	0	0									FALSE	6	NP	NP	0	-	608		FALSE	9	NP	NP	0	-	1026		FALSE	11	NP	NP	0	-	1434										FALSE	5	NP	NP	0	-	531		FALSE	8	NP	NP	0	-	943		FALSE	11	NP	NP	0	-	1433										
Squeeze	Sub	SPA2	0	0	0	0	0									FALSE	5	NP	NP	0	-	432		FALSE	8	NP	NP	0	-	745		FALSE	11	NP	NP	0	-	1257										FALSE	5	NP	NP	0	-	478		FALSE	8	NP	NP	0	-	864		FALSE	11	NP	NP	0	-	1250										
デッドボヲルdeホームラン	Bits	Bits	3500	9000	11000	0	0									FALSE	3	NP	NP	0	-	318		FALSE	9	NP	NP	0	-	846		FALSE	11	NP	NP	0	-	1417										FALSE	4	NP	NP	0	-	388		FALSE	9	NP	NP	0	-	989		FALSE	11	NP	NP	0	-	1447										
野球の遊び方 そしてその歴史 ～決定版～	Sub	SPA1	0	0	0	0	0									FALSE	3	NP	NP	0	-	343		FALSE	7	NP	NP	0	-	758		FALSE	10	NP	NP	0	-	1159										FALSE	3	NP	NP	0	-	449		FALSE	7	NP	NP	0	-	851		FALSE	10	NP	NP	0	-	1124										
轟け！恋のビーンボール！！	Sub	TRI2	0	0	0	0	0									FALSE	6	NP	NP	0	-	541		FALSE	10	NP	NP	0	-	1012		FALSE	12	NP	NP	0	-	1834										FALSE	6	NP	NP	0	-	596		FALSE	10	NP	NP	0	-	1116		FALSE	12	NP	NP	0	-	1774										
IX	Sub	SPA1	0	0	0	0	0									FALSE	6	NP	NP	0	-	658		FALSE	11	NP	NP	0	-	1247		FALSE	12	NP	NP	0	-	2007										FALSE	6	NP	NP	0	-	694		FALSE	11	NP	NP	0	-	1382		FALSE	12	NP	NP	0	-	2097										
Engraved Mark	Sub	SPA1	0	0	0	0	0									FALSE	4	NP	NP	0	-	413		FALSE	8	NP	NP	0	-	700		FALSE	11	NP	NP	0	-	1222										FALSE	4	NP	NP	0	-	430		FALSE	8	NP	NP	0	-	713		FALSE	11	NP	NP	0	-	1209										
Cleopatrysm	Base	Base	0	0	0	37.395	0									TRUE	4	NP	NP	0	-	416		TRUE	8	NP	NP	0	-	753		TRUE	11	FC	AAA	2493	0	1326	3.73950000E+001									TRUE	4	NP	NP	0	-	381		TRUE	9	NP	NP	0	-	732		TRUE	11	NP	NP	0	-	1199										
御千手メディテーション	Sub	SPA2	0	0	0	0	0									FALSE	4	NP	NP	0	-	394		FALSE	9	NP	NP	0	-	788		FALSE	11	NP	NP	0	-	1170										FALSE	5	NP	NP	0	-	424		FALSE	9	NP	NP	0	-	787		FALSE	11	NP	NP	0	-	1204										
KHAMEN BREAK	Bits	Bits	3000	7500	10500	35.91	0									FALSE	3	NP	NP	0	-	298		FALSE	7	NP	NP	0	-	723		TRUE	11	FC	AAA	2394	1	1281	3.59100000E+001									FALSE	3	NP	NP	0	-	304		FALSE	8	NP	NP	0	-	692		TRUE	10	NP	NP	0	-	1154										
海神	Bits	Bits	7000	10000	12000	44.5875	0									FALSE	7	NP	NP	0	-	585		FALSE	10	NP	NP	0	-	1084		TRUE	12	EX	AAA	3075	5	1629	4.45875000E+001									FALSE	7	NP	NP	0	-	607		FALSE	10	NP	NP	0	-	1145		TRUE	12	NP	NP	0	-	1557										
KAISER PHOENIX	Bits	Bits	6500	10000	11500	47.978	0									FALSE	7	NP	NP	0	-	679		FALSE	10	NP	NP	0	-	1194		TRUE	12	EX	AAA	3019	9	1693		TRUE	12	EX	AA	3427	20	2026	4.79780000E+001	FALSE	6	NP	NP	0	-	687		FALSE	10	NP	NP	0	-	1224		TRUE	11	NP	NP	0	-	1473		TRUE	12	NP	NP	0	-	2058		
SCHWARZSCHILD FIELD	Sub	SPA2	0	0	0	0	0									FALSE	6	NP	NP	0	-	472		FALSE	9	NP	NP	0	-	840		FALSE	11	NP	NP	0	-	1232										FALSE	7	NP	NP	0	-	653		FALSE	9	NP	NP	0	-	806		FALSE	11	NP	NP	0	-	1143										
Broken Sword	Sub	PD1	0	0	0	0	0									FALSE	7	NP	NP	0	-	658		FALSE	10	NP	NP	0	-	1054		FALSE	12	NP	NP	0	-	1887										FALSE	6	NP	NP	0	-	513		FALSE	9	NP	NP	0	-	1123		FALSE	12	NP	NP	0	-	1911										
Line 4 Ruin	Sub	PD1	0	0	0	0	0									FALSE	4	NP	NP	0	-	363		FALSE	9	NP	NP	0	-	913		FALSE	11	NP	NP	0	-	1402										FALSE	6	NP	NP	0	-	612		FALSE	9	NP	NP	0	-	827		FALSE	11	NP	NP	0	-	1286										
Rave*it!! Rave*it!!	Sub	PD1	0	0	0	0	0									FALSE	6	NP	NP	0	-	517		FALSE	9	NP	NP	0	-	863		FALSE	12	NP	NP	0	-	1656										FALSE	6	NP	NP	0	-	497		FALSE	9	NP	NP	0	-	824		FALSE	12	NP	NP	0	-	1433										
Shooting Fireball	Sub	LC2	0	0	0	0	0									FALSE	6	NP	NP	0	-	486		FALSE	10	NP	NP	0	-	1181		FALSE	12	NP	NP	0	-	1983										FALSE	6	NP	NP	0	-	508		FALSE	10	NP	NP	0	-	1148		FALSE	12	NP	NP	0	-	1842										
Say YEEEAHH	Bits	Bits	6000	9500	12000	0	0									FALSE	6	NP	NP	0	-	610		FALSE	9	NP	NP	0	-	952		FALSE	12	NP	NP	0	-	1677										FALSE	6	NP	NP	0	-	645		FALSE	10	NP	NP	0	-	1219		FALSE	12	NP	NP	0	-	1723										
Cosmic Cat	Sub	PD1	0	0	0	0	0									FALSE	6	NP	NP	0	-	476		FALSE	9	NP	NP	0	-	892		FALSE	11	NP	NP	0	-	1166		FALSE	12	NP	NP	0	-	1651		FALSE	6	NP	NP	0	-	544		FALSE	8	NP	NP	0	-	815		FALSE	10	NP	NP	0	-	1147		FALSE	12	NP	NP	0	-	1747		
Reflux	Sub	PD2	0	0	0	0	0									FALSE	5	NP	NP	0	-	402		FALSE	9	NP	NP	0	-	822		FALSE	12	NP	NP	0	-	1574										FALSE	6	NP	NP	0	-	467		FALSE	9	NP	NP	0	-	912		FALSE	12	NP	NP	0	-	1693										
CHRONO DIVER -NORNIR-	Sub	PD2	0	0	0	0	0									FALSE	5	NP	NP	0	-	592		FALSE	9	NP	NP	0	-	1124		FALSE	11	NP	NP	0	-	1568		FALSE	12	NP	NP	0	-	2233		FALSE	5	NP	NP	0	-	625		FALSE	9	NP	NP	0	-	1128		FALSE	11	NP	NP	0	-	1582		FALSE	12	NP	NP	0	-	2477		
表裏一体！？怪盗いいんちょの悩み♥	Sub	PD2	0	0	0	0	0									FALSE	6	NP	NP	0	-	580		FALSE	10	NP	NP	0	-	1127		FALSE	12	NP	NP	0	-	1815										FALSE	6	NP	NP	0	-	716		FALSE	10	NP	NP	0	-	1322		FALSE	12	NP	NP	0	-	2122										
もっと！モット！ときめき feat. 松下	Base	Base	0	0	0	38.625	0									TRUE	6	NP	NP	0	-	707		TRUE	9	NP	NP	0	-	1061		TRUE	11	FC	AAA	2575	2	1424	3.86250000E+001									TRUE	6	NP	NP	0	-	573		TRUE	9	NP	NP	0	-	945		TRUE	11	NP	NP	0	-	1266										
NEO GENERATOR SEVEN	Sub	PD1	0	0	0	0	0									FALSE	5	NP	NP	0	-	469		FALSE	9	NP	NP	0	-	974		FALSE	12	NP	NP	0	-	1690										FALSE	6	NP	NP	0	-	630		FALSE	10	NP	NP	0	-	1129		FALSE	11	NP	NP	0	-	1524										
共鳴遊戯の華	Bits	Bits	7000	10000	12000	52.2725	0									FALSE	7	NP	NP	0	-	669		FALSE	10	NP	NP	0	-	1296		TRUE	12	EX	AAA	3605	8	2000	5.22725000E+001									FALSE	7	NP	NP	0	-	654		FALSE	10	NP	NP	0	-	1395		TRUE	12	NP	NP	0	-	2054										
chrono diver -fragment-	Sub	PD1	0	0	0	0	0									FALSE	3	NP	NP	0	-	347		FALSE	6	NP	NP	0	-	590		FALSE	9	NP	NP	0	-	900		FALSE	10	NP	NP	0	-	1134		FALSE	3	NP	NP	0	-	322		FALSE	6	NP	NP	0	-	633		FALSE	9	NP	NP	0	-	896		FALSE	10	NP	NP	0	-	1114		
AFRO KNUCKLE	Sub	PD2	0	0	0	0	0									FALSE	5	NP	NP	0	-	496		FALSE	8	NP	NP	0	-	917		FALSE	11	NP	NP	0	-	1226										FALSE	5	NP	NP	0	-	446		FALSE	9	NP	NP	0	-	920		FALSE	11	NP	NP	0	-	1320										
Despair of ELFERIA	Bits	Bits	7000	10000	12000	56.8835	0									FALSE	7	NP	NP	0	-	642		FALSE	10	NP	NP	0	-	1248		TRUE	12	EX	AAA	3923	3	2096	5.68835000E+001									FALSE	7	NP	NP	0	-	723		FALSE	10	NP	NP	0	-	1328		TRUE	12	NP	NP	0	-	2155										
Flashes	Sub	TRI2	0	0	0	0	0									FALSE	6	NP	NP	0	-	489		FALSE	9	NP	NP	0	-	931		FALSE	12	NP	NP	0	-	1691										FALSE	6	NP	NP	0	-	596		FALSE	9	NP	NP	0	-	1009		FALSE	12	NP	NP	0	-	2090										
